,Height
IL601,3.9929714285714284
IL602,3.806202857142857
IL603,3.7110828571428573
IL605,3.5845614285714285
IL606,3.6552685714285715
IL607,3.77438
IL609,4.049762857142857
IL611,4.396408571428571
IL612,4.123647142857143
IL613,4.216584285714286
IL614,3.57583
IL615,4.208101428571428
IL617,4.246315714285714
IL618,3.9400942857142858
IL619,3.9294785714285716
IL620,3.823175714285714
IL621,3.2154128571428573
IL622,3.960717142857143
IL623,3.8823285714285714
IL625,4.229368571428571
IL626,4.500027142857143
IL627,3.9873471428571428
IL628,4.059934285714285
IL629,3.864407142857143
IL631,4.298154285714285
IL633,4.285695714285715
IL634,4.1018
IL639,3.807642857142857
IL640,4.019257142857143
IL641,3.895302857142857
IL642,4.073894285714286
IL643,3.832737142857143
IL644,2.770782857142857
IL645,4.156002857142857
IL646,3.9172114285714286
IL648,4.29284
IL649,4.2616128571428575
IL652,3.7815314285714288
IL653,3.60578
IL655,3.8879814285714285
IL656,4.123697142857143
IL659,3.972692857142857
IL660,4.03249
IL661,3.0617357142857142
IL662,3.7091957142857144
IL664,4.540084285714285
IL665,4.0768957142857145
IL667,3.5917714285714286
IL669,3.431587142857143
IL670,3.2360614285714284
IL671,3.6005985714285713
IL672,4.325667142857143
IL673,3.4248971428571426
IL674,4.198047142857143
IL675,3.446425714285714
IL676,3.6220585714285716
IL677,3.59975
IL678,4.039292857142857
IL681,3.0716514285714287
IL683,3.2272057142857142
IL687,3.5787842857142858
IL688,4.211091428571429
IL689,4.407095714285714
IL690,3.8392514285714285
IL691,2.8790642857142856
IL693,3.858332857142857
IL695,3.8440714285714286
IL696,3.314554285714286
IL697,4.462382857142857
IL698,3.970242857142857
IL699,4.312407142857142
IL700,2.687851428571429
IL702,5.232587142857143
IL703,2.823
IL704,4.888611428571428
IL705,3.552235714285714
IL706,3.13247
IL707,4.060591428571429
IL708,2.406447142857143
IL709,4.001295714285714
IL710,4.244302857142857
IL711,5.21348
IL712,3.98329
IL713,3.93719
IL714,4.920004285714286
IL715,3.6679314285714284
IL717,3.44681
IL718,4.013718571428571
IL719,4.5813757142857146
IL720,4.374167142857143
IL721,4.06807
IL723,4.020155714285714
IL724,3.6960185714285716
IL726,4.225027142857143
IL727,3.9841585714285714
IL728,4.498028571428572
IL729,4.816564285714286
IL731,5.019854285714286
IL733,4.758755714285714
IL734,4.00524
IL735,4.036308571428571
IL736,4.505037142857143
IL737,4.04963
IL738,3.67817
IL739,3.605632857142857
IL740,4.095358571428571
IL741,3.5299
IL742,3.9381785714285713
IL743,4.062341428571429
IL744,3.691605714285714
IL746,4.152948571428571
IL747,3.74992
IL748,3.506465714285714
IL749,4.4908914285714285
IL750,3.51575
IL751,3.770097142857143
IL752,3.7552842857142856
IL753,4.4144185714285715
IL754,3.7875085714285714
IL755,4.135447142857143
IL756,4.1698571428571425
IL757,3.934882857142857
IL758,3.4631414285714284
IL759,3.8246228571428573
IL760,4.16165
IL761,3.6378842857142857
IL762,3.7455514285714284
IL763,3.686305714285714
IL764,4.183991428571429
IL765,4.079135714285714
IL767,3.924117142857143
IL768,4.071905714285714
IL769,3.996547142857143
IL771,4.1079671428571425
IL772,3.468445714285714
IL773,4.05364
IL774,5.073621428571428
IL776,4.924487142857143
IL777,4.505072857142857
IL778,4.015454285714286
IL780,4.14709
IL782,4.00215
IL783,4.006724285714285
IL784,4.67521
IL786,4.024045714285714
IL787,4.379232857142857
IL788,4.6093271428571425
IL792,4.795872857142857
IL793,4.725748571428571
IL795,5.71309
IL796,4.11368
