,Growth_rate
IL702,-0.1917808219178082
IL703,0.00970502258836035
IL706,-0.015715793800564322
IL708,-0.01223113379511489
IL709,1.2695417789757413
IL711,-0.575376319928106
IL712,2.130252100840336
IL713,1.1621641840670303
IL714,1.1853847216466362
IL715,0.5134093711467325
IL716,0.01596135880259997
IL717,-0.5602771966527197
IL718,0.21526283790103828
IL719,0.13361005835288456
IL721,-0.0954533039291061
IL722,-0.3494539781591264
IL723,0.5841376246819852
IL724,0.07439363179826909
IL725,0.2887745903812503
IL726,-0.21481270055128593
IL727,-0.46212593034298466
IL728,-0.06039937759336104
IL729,-0.3283603603603603
IL730,0.022430421603747613
IL731,0.06432584269662926
IL734,0.7977640247554402
IL735,-0.6960224089635854
IL736,-0.03841991341991349
IL737,-0.3366990928867546
IL738,-0.578306291314196
IL739,-0.5437762410471721
IL740,-0.17967449217449216
IL741,1.5773307376162664
IL742,-0.8286556272803817
IL743,-0.7245923609559973
IL744,-0.4763460015835313
IL746,-0.0833958977747079
IL747,-0.2767599139256071
IL748,0.21323693669909222
IL749,-0.470182653925245
IL750,0.12815490043961725
IL751,-0.3184188393608074
IL752,0.42882172579938677
IL753,0.1301821466205029
IL754,0.6981077388099873
IL755,-0.4878063347335311
IL756,-0.4752396166134185
IL757,-0.5373804319725493
IL758,-0.21380055974106849
IL759,-0.4437495290483008
IL760,-0.514553934465439
IL761,-0.672567619277788
IL762,-0.30698587689066603
IL763,-0.14389692643622384
IL764,0.17015791169835642
IL765,-0.4679969491455546
IL766,-0.8604686600521486
IL767,0.6727667196447943
IL768,-0.8397974597366126
IL769,-0.5071787282563867
IL770,-0.2193771626297578
IL771,-0.770556247133591
IL772,0.0784691555167773
IL773,-0.37413528055342044
IL774,0.7016119209062487
IL775,0.24902896892290402
IL776,0.4653991889915575
IL777,-0.29187911566170555
IL778,0.2637344147970224
IL779,-0.5906147764449292
IL780,0.4786776950749387
IL781,-0.5148265819433412
IL782,0.09158810586026607
IL783,0.5299854185107108
IL784,1.398680230959582
IL785,0.06258644003311079
IL786,0.20522552740753805
IL787,2.0624784853700517
IL788,-0.234794711203897
IL789,-0.10263853103290825
IL790,-0.49644055398125897
IL791,-0.36900911496618644
IL792,-0.5054664625137668
IL793,-0.18216858418763487
IL794,0.22246649173817468
IL795,-0.3919420850503182
IL796,-0.14089788370659542
