acc,height0622,coordinates
IL411,32.01414244477613,"(519, 321)"
IL411,33.12795252675219,"(123, 322)"
IL411,27.865399408163505,"(712, 327)"
IL411,26.232286938740643,"(902, 412)"
IL411,29.80936632537314,"(516, 422)"
IL411,27.472450902487573,"(317, 423)"
IL411,29.433248242049707,"(122, 428)"
IL411,24.982429741608517,"(906, 511)"
IL411,34.426189494296736,"(124, 519)"
IL411,30.34856373931864,"(128, 613)"
IL411,3.070540383184744,"(715, 620)"
IL412,21.62363025238693,"(898, 52)"
IL412,26.67763676395157,"(709, 57)"
IL412,31.635846238285552,"(121, 62)"
IL412,28.80881935367674,"(314, 167)"
IL412,21.16621998350632,"(895, 168)"
IL412,33.384540746711565,"(513, 172)"
IL412,31.042347595421404,"(122, 173)"
IL412,1.628105788912702,"(709, 173)"
IL412,31.95389398054241,"(514, 276)"
IL412,22.268001785466836,"(895, 276)"
IL412,18.03940066366404,"(126, 278)"
IL412,30.35110791089067,"(308, 280)"
IL412,31.19429199049266,"(705, 281)"
IL412,29.38115766213445,"(709, 368)"
IL412,27.79493005889192,"(123, 381)"
IL412,19.674640840470275,"(902, 382)"
IL412,28.617973582532464,"(311, 386)"
IL412,3.408460685144031,"(311, 493)"
IL412,30.009696051269856,"(123, 501)"
IL412,20.653739487918795,"(907, 603)"
IL412,2.8849250020231034,"(313, 607)"
IL412,29.684814101717144,"(122, 612)"
IL413,23.174494552896107,"(900, 41)"
IL413,25.749816758896337,"(314, 46)"
IL413,27.92040137126974,"(124, 52)"
IL413,23.205357423601605,"(903, 146)"
IL413,32.12170608960856,"(125, 148)"
IL413,1.4342032582720483,"(314, 148)"
IL413,31.751416989734665,"(514, 148)"
IL413,25.53648484314278,"(714, 150)"
IL413,28.719237374175197,"(709, 252)"
IL413,31.69032246237148,"(509, 257)"
IL413,32.39599410416252,"(317, 261)"
IL413,22.99132111777265,"(903, 261)"
IL413,31.95201400466004,"(314, 366)"
IL413,32.254700571824216,"(511, 366)"
IL413,28.187834900182423,"(711, 368)"
IL413,25.34451527539614,"(908, 369)"
IL413,14.233662556949476,"(712, 482)"
IL413,24.960771405480727,"(898, 482)"
IL413,1.3123157780687045,"(124, 486)"
IL413,23.025743612031413,"(900, 597)"
