,Height
IL521,1.7549357142857143
IL522,1.7141185714285714
IL523,1.6317071428571428
IL524,1.3537214285714285
IL525,1.1949528571428571
IL526,1.3195771428571428
IL528,1.4566314285714286
IL529,1.5990757142857144
IL530,1.54892
IL532,1.61599
IL533,1.4649157142857143
IL535,1.4611642857142857
IL536,1.3369285714285715
IL537,1.5450428571428572
IL538,1.4631057142857142
IL539,1.4609928571428572
IL541,1.42815
IL542,1.7329071428571428
IL543,1.4809914285714285
IL544,1.3782457142857143
IL545,1.389592857142857
IL546,1.4901771428571429
IL547,1.5877628571428573
IL548,1.613317142857143
IL549,1.5301785714285714
IL550,1.5896557142857144
IL551,1.153757142857143
IL552,1.68775
IL553,1.7833257142857142
IL554,1.520422857142857
IL555,1.5770257142857143
IL557,1.6834371428571429
IL559,1.4381114285714285
IL560,1.6215371428571428
IL561,1.8515314285714286
IL562,1.92852
IL563,1.6212242857142858
IL564,1.8180628571428572
IL566,1.772957142857143
IL567,1.3523057142857142
IL568,1.0610428571428572
IL572,1.8297642857142857
IL573,1.9748542857142857
IL575,2.0585142857142857
IL576,2.1231257142857145
IL578,2.2929
IL579,2.1618614285714286
IL580,2.33109
IL581,2.2244385714285713
IL582,2.38479
IL583,2.1843271428571427
IL584,2.1787328571428572
IL585,2.260917142857143
IL586,2.0466257142857143
IL587,2.488857142857143
IL589,2.342612857142857
IL590,2.6405914285714287
IL591,2.283465714285714
IL592,2.1836685714285715
IL593,2.5460485714285714
IL594,2.438307142857143
IL595,2.3897028571428574
IL596,2.3736414285714287
IL597,2.2375214285714287
IL599,1.7415285714285715
IL600,1.69271
IL601,1.8139814285714286
IL602,1.6845771428571428
IL603,1.6712971428571428
IL605,1.5321871428571427
IL606,1.5771385714285715
IL607,1.5338028571428572
IL609,1.82231
IL611,2.02327
IL612,1.9254585714285715
IL613,2.0303
IL614,1.5884928571428572
IL615,1.9409442857142858
IL617,1.9152085714285714
IL618,1.7574542857142856
IL619,1.7242757142857144
IL620,1.6764142857142856
IL621,1.4146585714285713
IL622,1.9394514285714286
IL623,1.7465171428571429
IL625,1.9643142857142857
IL626,2.0893328571428573
IL627,1.8303614285714285
IL628,1.8287671428571428
IL629,1.6969942857142857
IL631,1.8522628571428572
IL633,1.8135928571428572
IL634,1.8417885714285713
IL639,1.6019614285714285
IL640,1.7499428571428572
IL641,1.7140814285714285
IL642,1.7143757142857143
IL643,1.7532014285714286
IL644,1.2623657142857143
IL645,1.8203257142857143
IL646,1.7007071428571428
IL648,1.8286785714285714
IL649,1.936257142857143
IL652,1.6439357142857143
IL653,1.5633342857142858
IL655,1.7158571428571427
IL656,1.81368
IL659,1.6174614285714286
IL660,1.7111414285714286
IL661,1.3555042857142856
IL662,1.6353614285714286
IL664,2.09183
IL665,1.7858514285714286
IL667,1.683682857142857
IL669,1.1595671428571428
IL670,1.4322057142857143
IL671,1.5092857142857143
IL672,1.8793028571428572
IL673,1.6034242857142857
IL674,2.07399
IL675,1.6339457142857143
IL676,1.5094285714285713
IL677,1.0840285714285713
IL678,1.5583628571428572
IL681,1.33035
IL683,1.2555585714285715
IL687,1.5048585714285714
IL688,1.7723485714285714
IL689,1.8387457142857142
IL690,1.6291814285714286
IL691,1.28186
IL693,1.6015242857142857
IL695,1.5709042857142856
IL696,1.3796057142857143
IL697,1.8980428571428571
IL698,1.6280228571428572
IL699,1.8114428571428571
IL700,1.4850928571428572
IL702,2.3078042857142855
IL703,1.4073642857142856
IL704,1.9561914285714286
IL705,1.6794214285714286
IL706,1.7207071428571428
IL707,1.835942857142857
IL708,1.18756
IL709,1.6733642857142856
IL710,2.0407614285714284
IL711,2.4541242857142858
IL712,1.9918842857142858
IL713,1.9330714285714286
IL714,2.0999957142857144
IL715,1.7105771428571428
IL717,1.5908257142857143
IL718,1.8997942857142858
IL719,2.2419457142857144
IL720,2.09961
IL721,1.9784742857142856
IL723,1.8380957142857144
IL724,1.749707142857143
IL726,1.9714971428571428
IL727,1.9426257142857142
IL728,2.0159314285714287
IL729,2.1142357142857144
IL731,2.2966414285714287
IL733,2.0422457142857144
IL734,1.5421028571428572
IL735,1.8094457142857143
IL736,2.020424285714286
IL737,1.871
IL738,1.7562271428571428
IL739,1.6467342857142857
IL740,2.0230085714285715
IL741,1.66305
IL742,1.8353542857142857
IL743,1.89236
IL744,1.7300257142857143
IL746,1.8444971428571428
IL747,1.718872857142857
IL748,1.698292857142857
